Start Date,End Date,Start Time,End Time,Company,Title,Process,CTC,Venue,Description,Batch,,,,,,,,,,,,,,,,,
1015-02-07,2025-02-01,10:00 AM,01:00 AM,Siemens Limited,Siemens Limited Round: 3 - Online Test - Intern,,-,,"   Eligibility Criteria:      &nbsp;        Minimum 60% or CGPA 6.0 from 10th Grade to current educational qualification      No active backlogs      Academic backlogs not exceeding 2 years.      Pursuit of regular, full-time courses         Job Role    ---&gt; Intern      Course Name: &nbsp;   B.E/ B    .Tech      Applicable Streams:&nbsp;   CSE, ECE.     Location: &nbsp;   Bangalore      Stipend: &nbsp;   2    5,000/- Per Month      Duration: &nbsp;  4 -&nbsp; 6    &nbsp;Months      ",,,,,,,,,,,,,,,,,,
2024-07-24,2024-07-24,12:00 PM,02:00 PM,,ION PPT,,-,, Please Join ION PPT  Please Check Notice Tab for the link.  Links are sent only for shortlisted students. ,,,,,,,,,,,,,,,,,,
2024-08-10,2024-08-16,08:30 AM,04:00 AM,,Placement Training for Batch 2 students,,-,, Placement training (Accenture) for the  students  will be conducted in these venues:   Faraday Hall  GD Naidu Hall  Biotech Auditorium  ,,,,,,,,,,,,,,,,,,
2024-08-25,2024-08-25,12:00 AM,12:00 AM,,Reliance Industries Ltd Round: 4 - Graduate Engineering Trainee (GET),,-,,Preplacement Talk,,,,,,,,,,,,,,,,,,
2024-09-09,2024-09-10,12:00 AM,12:00 AM,,Fractal Round: 3 - Imagineer,,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-09,2024-09-10,12:00 AM,12:00 AM,,Fractal Round: 3 - Imagineer,,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,DataZymes Round: 2 - Associate analyst,,-,,PPT & Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,DataZymes Round: 2 - Associate analyst,,-,,PPT & Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,Incedo Round: 4 -  Software Developer Trainee,,-,,Technical Interview,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,Incedo Round: 4 -  Software Developer Trainee,,-,,Technical Interview,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,Incedo Round: 4 -  Software Developer Trainee,,-,,Technical Interview,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,iamneo Round: 3 - Gen AI Engineer intern,,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,Fractal Round: 3 - Imagineer,,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-11,12:00 AM,12:00 AM,,"VE Commercials Vehicles Ltd Round: 2 - PGET (Data Science, AI & MES)",,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,12:00 AM,12:00 AM,,Incedo Round: 4 -  Software Developer Trainee,,-,,Technical Interview & HR Interview,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,Airtel Round: 4 - Graduate Engineer Trainee,,-,,Technical + HR Interview,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,Camsonline  Round: 4 - Intern ,,-,,GD,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,CAPGEMINI Round: 2 - ANALYST / ANALYST* / SENIOR ANALYST,,-,,Company Shortlisting,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,CAPGEMINI Round: 2 - ANALYST / ANALYST* / SENIOR ANALYST,,-,,Company Shortlisting,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,CAPGEMINI Round: 2 - ANALYST / ANALYST* / SENIOR ANALYST,,-,,Company Shortlisting,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,CAPGEMINI Round: 2 - ANALYST / ANALYST* / SENIOR ANALYST,,-,,Company Shortlisting,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,CAPGEMINI Round: 2 - ANALYST / ANALYST* / SENIOR ANALYST,,-,,Company Shortlisting,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,iamneo Round: 3 - Gen AI Engineer intern,,-,,Online Test,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,12:00 AM,12:00 AM,,iamneo Round: 3 - Gen AI Engineer intern,,-,,Online Test,,,,,,,,,,,,,,,,,,
